What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,birth_day,birth_month,birth_year,Give a random number,bedtime,good_day_1,good_day_2
Quantitative Risk Management,no,0,mu,nee,male,I have no idea what you are talking about,3,12,1993,4,03:30,good coffee,sunshine
Bioinformatics,yes,0,mu,nee,male,I have no idea what you are talking about,18,9,1991,8,00:00,sunshine,good fuckin breakfast
Bioinformatics,yes,0,sigma,nee,male,neither,23,1,1994,4,01:30,no responsibilities,sleeping in
Business Analytics,no,0,mu,nee,male,fat,12,10,1994,10,01:00,playing football,meeting awesome people
Econometrics and operations research,yes,1,mu,ja,male,fat,5,11,1990,8,01:00,sex,food
NA,yes,0,unknown,ja,female,neither,1,6,1994,1,23:30,things to do,not coming to vu
Business Analytics,yes,0,mu,nee,male,neither,NA,NA,1991,8,00:00,sleeping in,good weather
PHD,no,0,mu,nee,male,neither,1,3,1995,7,23:30,food,sleep
Bioinformatics,no,0,mu,nee,male,fat,2,3,1996,2,23:30,sleep,food
Bioinformatics,yes,0,mu,nee,female,neither,5,8,1987,7,00:13,sunshine,having the house quiet ehrn i wake up
"Science, Business and Innovation",no,0,unknown,ja,male,neither,NA,NA,NA,6,23:45,wake up time,things to do
Econometrics,no,0,mu,nee,female,neither,28,3,1995,7,23:00,well rested and structured,be around nice people
Computational Science,no,0,mu,nee,male,neither,27,1,1995,4,22:30,cheese,good coffee
Quantitative Risk Management,no,0,mu,nee,male,neither,10,9,NA,6,00:30,success,food
Artificial Intelligence,yes,0,mu,ja,male,neither,9,7,1994,10,00:00,got a 8.5,getting a good grade
Econometrics and operations research,yes,1,mu,ja,unknown,I have no idea what you are talking about,18,5,NA,3,23:00,free time,not it being bad
NA,yes,1,mu,ja,male,neither,25,1,1996,4,03:20,pizza,Seeing you *kiss*
Artificial Intelligence,yes,1,mu,ja,male,neither,11,2,1994,3,03:00,beer,exercise
Business Analytics ,no,0,mu,nee,male,I have no idea what you are talking about,15,8,1995,2,23:15,holiday,food
Quantitative Risk Management,no,0,mu,nee,male,neither,12,9,1996,9,01:30,no time series assignment,well rested and structured
Computer Science,no,1,mu,nee,male,fat,11,8,1992,8,01:00,food,new experiences
Econometrics,no,0,mu,unknown,female,fat,23,12,1991,7,01:00,NA,productive
Bioinformatics,yes,0,mu,nee,female,I have no idea what you are talking about,13,6,1993,3,02:00,got a 8.5,sushi
Computational Science,yes,0,mu,ja,male,neither,26,6,NA,9,01:00,sunshine,food
Artificial Intelligence,no,0,mu,nee,male,neither,12,2,1993,7,02:00,no alarm in the morning,sunshine
Computer Science ,no,1,mu,nee,male,neither,10,4,NA,42,22:30,rest,sleep
PHD,no,0,mu,nee,male,neither,1,3,1995,7,23:30,food,sleep
Artificial Intelligence,no,unknown,mu,unknown,female,neither,25,8,1996,3,00:00,food,things to do
Business Analytics,yes,0,mu,nee,male,fat,7,7,1992,4,01:30,sleep well,sports
Big Data Engineering,no,1,mu,ja,male,I have no idea what you are talking about,2,4,1995,9,00:00,cloudy skies  ,memes 
Computational Science,yes,0,mu,nee,male,neither,17,11,NA,10,01:00,afternoon lectures,weekend
Business Analytics,yes,0,mu,nee,male,fat,1,9,1994,1,00:00,food,no college
Business Analytics,yes,1,mu,ja,female,fat,23,2,1995,9,23:30,getting a good grade,sleep well
Econometrics,no,0,mu,unknown,male,fat,2,9,1993,2,00:30,good weather,fun
Computational Science,yes,0,mu,nee,male,I have no idea what you are talking about,7,6,1993,42,23:15,no lecture at 9,no lecture at 9
Computer Science,yes,1,mu,ja,male,fat,1,12,NA,69,02:30,sex,go to the gym
Business Analytics,yes,0,mu,ja,female,neither,19,3,1993,9,00:00,sleep,free time
Bioinformatics,yes,0,sigma,nee,female,neither,NA,NA,NA,8,22:00,good weather,achievement
Mathematics,no,0,mu,nee,female,I have no idea what you are talking about,24,9,1996,7,23:00,sleep,be around nice people
Bioinformatics,no,0,mu,ja,male,I have no idea what you are talking about,5,2,1996,3,00:00,rest,no compile errors on first try
Operations Research,no,0,mu,nee,male,neither,NA,NA,1995,ACHT,00:00,sports,chocolate
Computational Science,yes,unknown,mu,ja,male,neither,NA,NA,1990,4,03:00,productive,no rain
Bioinformatics,no,0,mu,nee,male,fat,26,11,1993,382763,23:00,sleep,cheese
Artificial Intelligence,yes,0,mu,ja,male,fat,18,8,1994,7,23:00,good coffee,music
Artificial Intelligence   ,no,0,mu,nee,male,fat,30,12,1990,6,03:00,sleep,sports
Computational Science,yes,0,sigma,nee,male,neither,7,8,NA,4,04:30,1,got 2 8.5s
Business Analytics ,yes,1,sigma,ja,male,unknown,5,4,2000,7,04:00,guest lecture by tupac,0 heart attacks
NA,no,0,sigma,nee,male,slim,25,12,1991,7,02:00,temptation island,beer
Quantitative Risk Management,no,0,mu,ja,male,I have no idea what you are talking about,18,3,NA,3,00:00,sunshine,"following 4 courses at the same time, rain"
Bioinformatics,yes,0,mu,nee,female,neither,24,1,1993,5,01:05,a good book,be around nice people
Artificial Intelligence,yes,1,mu,ja,male,I have no idea what you are talking about,9,2,1993,9,03:30,hanging out,sex
Artificial Intelligence,no,0,mu,nee,male,slim,9,11,NA,6123,23:30,food,seeing friends
Econometrics ,no,0,mu,nee,male,fat,22,11,1991,2,02:00,free time,money
Artificial Intelligence,no,0,unknown,unknown,female,neither,20,5,1993,88,22:47,beer,activities
Artificial Intelligence,yes,1,mu,nee,male,fat,30,7,1992,2,04:00,seeing friends,beer
Physics,no,1,mu,nee,male,neither,4,12,1991,10,01:30,good company,well rested and structured
Business Analytics,yes,1,mu,ja,male,fat,7,10,1994,6,01:00,sleep well,relax
